country,continent,population,Cases,Recovered,Deaths,Tests
Saint_Helena,Africa,6115,2166,2,0,0
Falkland_Islands,South_America,3539,1930,1930,0,8632
Montserrat,North_America,4965,1403,1376,8,17762
Diamond_Princess,Others,0,712,699,13,0
Vatican_City,Europe,799,29,29,0,0
Western_Sahara,Africa,626161,10,9,1,0
MS_Zaandam,Others,0,9,7,2,0
China,Asia,1448471400,503302,379053,5272,160000000
Tokelau,Oceania,1378,80,0,0,0
Saint_Pierre_Miquelon,North_America,5759,3452,2449,2,25400
Tuvalu,Oceania,12066,2943,0,1,0
Niue,Oceania,1622,1059,1056,0,0
Nicaragua,North_America,6779100,18491,4225,225,0
Tajikistan,Asia,9957464,17786,17264,125,0
Djibouti,Africa,1016097,15690,15427,189,305941
Greenland,North_America,56973,11971,2761,21,164926
Eritrea,Africa,3662244,10189,10086,103,23693
Niger,Africa,26083660,9931,8890,312,254538
Equatorial_Guinea,Africa,1496662,17229,16907,183,365697
Liberia,Africa,5305117,8090,7783,295,139824
Nauru,Oceania,10903,5393,5347,1,20509
Caribbean_Netherlands,North_America,26647,11682,10476,38,30126
Bermuda,North_America,61939,18860,18685,165,1029558
Gambia,Africa,2558482,12626,12189,372,155686
Grenada,North_America,113475,19693,19358,238,182981
Comoros,Africa,907419,9109,8939,161,0
Guinea_Bissau,Africa,2063367,9614,8929,177,145231
Chad,Africa,17413580,7701,4874,194,191341
Vanuatu,Oceania,321832,12019,11976,14,24976
Sint_Maarten,North_America,43966,11051,10905,92,62056
Wallis_and_Futuna,Oceania,10982,3550,438,8,20508
St_Barth,North_America,9945,5507,0,6,78646
Saint_Kitts_and_Nevis,North_America,53871,6607,6559,48,126958
Timor_Leste,Asia,1369429,23460,23102,138,278529
Kiribati,Oceania,123419,5085,2703,24,0
Burkina_Faso,Africa,22102838,22114,21596,400,248995
Liechtenstein,Europe,38387,21574,0,94,112457
Gibraltar,Europe,33704,20550,0,113,534283
South_Sudan,Africa,11618511,18819,18115,147,410280
Monaco,Europe,39783,17181,0,67,78646
Samoa,Oceania,202239,17006,1605,31,187397
Tonga,Oceania,107749,16950,15638,13,535009
Marshall_Islands,Oceania,60057,16138,16121,17,0
Dominica,North_America,72344,16038,15964,74,229344
CAR,Africa,5016678,15440,15200,113,81294
Saint_Martin,North_America,39730,12324,0,63,112382
Yemen,Asia,31154867,11945,9124,2159,329592
St_Vincent_Grenadines,North_America,111551,9674,9493,124,114197
Antigua_and_Barbuda,North_America,99509,9106,8954,146,18901
Sierra_Leone,Africa,8306436,7779,0,126,259958
British_Virgin_Islands,North_America,30596,7392,0,64,107339
Cook_Islands,Oceania,17571,7203,7150,2,19690
Sao_Tome_and_Principe,Africa,227679,6778,6685,80,29600
Turks_and_Caicos,North_America,39741,6752,6709,40,616788
Palau,Oceania,18233,6290,6276,10,71434
Anguilla,North_America,15230,3904,0,12,51382
Cura&ccedil;ao,North_America,165529,45986,44720,295,496693
Isle_of_Man,Europe,85732,38008,0,116,150753
Cayman_Islands,North_America,67277,31472,8553,37,222773
Congo,Africa,5797805,25375,24006,386,347815
Somalia,Africa,16841795,27334,13182,1361,400466
Mayotte,Africa,286259,42027,0,188,176919
Bahamas,North_America,400516,38084,36366,844,257839
Aruba,North_America,107609,44224,42438,292,177885
Madagascar,Africa,29178077,68486,66862,1426,531329
Cabo_Verde,Africa,567678,64477,63755,417,401622
Sudan,Africa,45992020,63993,58947,5046,562941
Mauritania,Africa,4901981,63848,62471,997,1009957
Bhutan,Asia,787941,62697,61564,21,2303734
Syria,Asia,19364809,57743,54578,3165,146269
Burundi,Africa,12624840,54721,53569,38,345742
Seychelles,Africa,99426,51220,51048,172,0
Gabon,Africa,2331533,49051,48674,307,1621909
Andorra,Europe,77463,48015,0,165,249838
Papua_New_Guinea,Oceania,9292169,46864,46168,670,249149
Tanzania,Africa,63298550,43223,0,846,0
Mauritius,Africa,1274727,43025,41278,1051,358675
Togo,Africa,8680837,39572,39281,290,815204
Guinea,Africa,13865691,38572,37757,468,660107
Lesotho,Africa,2175699,36138,25980,723,431221
Haiti,North_America,11680283,34667,33734,860,132422
Faeroe_Islands,Europe,49233,34658,0,28,778000
Mali,Africa,21473764,33164,32332,743,804909
Saint_Lucia,North_America,185113,30215,29805,410,210983
Benin,Africa,12784726,28036,27847,163,604310
Macao,Asia,667490,27673,3487,123,7850
Micronesia,Oceania,117489,26547,0,65,82430
San_Marino,Europe,34085,26185,26011,128,196855
Solomon_Islands,Oceania,721159,25954,0,199,0
French_Guiana,South_America,314169,98041,11254,420,651257
Channel_Islands,Europe,176463,101717,101321,228,1252808
Kyrgyzstan,Asia,6728271,206897,196406,2991,1907195
Fiji,Oceania,909466,69117,67226,885,672883
Suriname,South_America,596831,82588,0,1408,242207
Guadeloupe,North_America,399794,203235,0,1021,938039
El_Salvador,North_America,6550389,201855,179410,4230,2610114
Trinidad_and_Tobago,North_America,1406585,191496,187078,4390,913289
Maldives,Asia,540985,186694,163687,316,2213831
Namibia,Africa,2633874,172389,167099,4106,1062663
Uganda,Africa,48432863,172149,100431,3632,3012408
Ghana,Africa,32395450,171889,170425,1462,2541625
Jamaica,North_America,2985094,156869,0,3756,1183986
Cambodia,Asia,17168639,139103,136044,3056,3091420
Rwanda,Africa,13600464,133518,132039,1468,6021981
Cameroon,Africa,27911548,125379,123280,1974,1751774
Malta,Europe,444033,121420,120149,885,2170600
Barbados,North_America,288023,110578,108647,648,814159
Angola,Africa,35027343,107327,103419,1937,1499795
DRC,Africa,95240792,99338,84489,1468,846704
Malawi,Africa,20180839,89535,0,2686,624784
Senegal,Africa,17653671,89053,87024,1971,1146543
Ivory_Coast,Africa,27742298,88384,87497,835,1690934
New_Caledonia,Oceania,290915,80064,0,314,98964
French_Polynesia,Oceania,284164,79254,0,650,0
Eswatini,Africa,1184817,75191,73116,1427,1048704
Guyana,South_America,794045,74137,72013,1300,733218
Belize,North_America,412190,71409,0,688,576016
Belarus,Europe,9432800,994037,985592,7118,13646641
Venezuela,South_America,29266991,552695,546537,5856,3359014
Egypt,Africa,106156692,516023,442182,24613,3693367
Uzbekistan,Asia,34382084,253662,241486,1637,1377915
Qatar,Asia,2979915,514524,513687,690,4065369
Ecuador,South_America,18113361,1070188,1034145,36043,3082403
UAE,Asia,10081785,1067030,0,2349,200732262
Panama,North_America,4446964,1059893,1051102,8727,7882622
Uruguay,South_America,3496016,1041111,1030944,7664,6114822
Mongolia,Asia,3378078,1011496,1009212,2284,4030048
Nepal,Asia,30225582,1003450,991322,12031,6047766
Latvia,Europe,1848837,982505,971406,6715,7885792
Saudi_Arabia,Asia,35844909,841469,0,9646,45481735
Paraguay,South_America,7305843,837602,0,20155,2657506
Azerbaijan,Asia,10300205,835234,824089,10400,7748050
Bahrain,Asia,1783983,729549,727915,1574,10948549
Cyprus,Asia,1223387,681110,679745,1365,9640118
Dominican_Republic,North_America,11056370,675890,671316,4384,3740928
Sri_Lanka,Asia,21575842,672754,655852,16897,6486117
Kuwait,Asia,4380326,667158,0,2570,8455743
Myanmar,Asia,55227143,641873,620159,19495,11711514
Moldova,Europe,4013171,635145,0,12218,3216305
Estonia,Europe,1321910,628070,0,3001,6968103
Palestine,Asia,5345541,621008,615445,5404,3078533
Libya,Africa,7040745,507274,500835,6437,2483848
Ethiopia,Africa,120812698,501157,488171,7574,5565340
R&eacute;union,Africa,908061,494595,0,921,1603660
Honduras,North_America,10221247,474590,0,11165,1660662
Armenia,Asia,2971966,451831,435162,8777,3242901
Bosnia_and_Herzegovina,Europe,3249317,403615,379084,16388,1884721
Oman,Asia,5323993,399449,0,4628,25000000
Luxembourg,Europe,642371,391232,0,1232,4587145
North_Macedonia,Europe,2081304,350567,337068,9976,2226216
Zambia,Africa,19470234,349304,341316,4069,4112961
Kenya,Africa,56215221,344130,337309,5689,3967062
Brunei,Asia,445431,343719,243601,225,717784
Albania,Europe,2866374,334863,330233,3605,1941032
Botswana,Africa,2441162,330638,327049,2801,2026898
Montenegro,Europe,627950,296542,291794,2846,2769281
Algeria,Africa,45350148,272010,183061,6881,230960
Nigeria,Africa,216746934,267188,259953,3155,5708974
Zimbabwe,Africa,15331428,266359,258888,5740,2525756
Afghanistan,Asia,40754388,234174,211080,7996,1390730
Mozambique,Africa,33089461,233731,228805,2250,1371127
Martinique,North_America,374087,230354,0,1102,828928
Laos,Asia,7481023,218970,0,758,1233207
Iceland,Europe,345393,209906,0,229,1996384
DPRK,Asia,25990679,4772813,4772739,74,0
Jordan,Asia,10300869,1746997,1731007,14122,17201885
South_Africa,Africa,60756135,4076463,3912506,102595,26795090
Kazakhstan,Asia,19205043,1411831,1383020,13848,11575012
Ukraine,Europe,43192122,5557995,5445577,112418,32603805
Poland,Europe,37739785,6661991,0,120598,39323709
Colombia,South_America,51512762,6400173,6212152,143200,36951507
Greece,Europe,10316637,6101379,0,37869,102228365
Austria,Europe,9066710,6081287,6054934,22542,211273524
Portugal,Europe,10140570,5643062,5614809,28126,46139518
Chile,South_America,19250195,5384853,5252450,64497,50382097
Malaysia,Asia,33181072,5278406,5233268,37348,68580916
Canada,North_America,38388419,4946090,4881312,59034,66572774
Belgium,Europe,11668278,4861695,4826798,34376,37454182
Israel,Asia,9326000,4841772,4798473,12707,41373364
Thailand,Asia,70078203,4770149,4692636,34586,17273454
Czechia,Europe,10736784,4759041,4715206,43517,57834241
Peru,South_America,33684208,4572667,4350506,222161,39010194
Switzerland,Europe,8773637,4453053,4438309,14452,23833472
Philippines,Asia,112508994,4140383,4067381,66864,36102746
Romania,Europe,19031335,3529735,3460149,68929,28758667
Denmark,Europe,5834950,3183756,3174942,8814,129333107
Singapore,Asia,5943546,3006155,3004131,2024,24756666
Hong_Kong,Asia,7604299,2937609,2916005,14924,76127725
Sweden,Europe,10218971,2754129,2726492,27407,19500873
New_Zealand,Oceania,4898203,2621111,2613791,5697,7768604
Serbia,Europe,8653016,2615054,2596608,18057,13463733
Iraq,Asia,42164965,2465545,2439497,25375,19544451
Hungary,Europe,9606259,2230232,2152155,49048,11394556
Bangladesh,Asia,167885689,2049377,0,29493,15254399
Slovakia,Europe,5460193,1877605,1856381,21224,7448789
Georgia,Asia,3968738,1861665,0,17132,16920079
Ireland,Europe,5020199,1734582,1724921,9491,13083449
Pakistan,Asia,229488994,1581936,1538689,30664,30589153
Finland,Europe,5554960,1516117,1503989,11958,12108977
Norway,Europe,5511370,1509732,1503094,6638,11002430
Lithuania,Europe,2661708,1397806,1387478,9897,10540357
Slovenia,Europe,2078034,1356546,1349424,7100,2847701
Bulgaria,Europe,6844597,1339851,1292944,38748,11671043
Croatia,Europe,4059286,1309728,1258432,18687,5660084
Guatemala,North_America,18584039,1291293,1269891,20289,7593848
Morocco,Africa,37772756,1278992,0,16303,13001033
Lebanon,Asia,6684849,1243838,1087587,10952,4795578
Costa_Rica,North_America,5182354,1238883,0,9428,4659757
Bolivia,South_America,11992656,1212131,1177145,22407,2710261
Tunisia,Africa,12046656,1153361,0,29423,5013383
Cuba,North_America,11305652,1115251,1106660,8530,14402674
Spain,Europe,46719142,13914811,13762417,121760,471036328
North_America,North_America,0,131889132,127665129,1695941,0
Asia,Asia,0,221500265,205673091,1553662,0
Europe,Europe,0,253406198,248754104,2101824,0
South_America,South_America,0,70200879,66683585,1367332,0
Oceania,Oceania,0,14895771,14752388,33015,0
Africa,Africa,0,12860924,12090808,258892,0
All,All,0,704753890,675619811,7010681,0
USA,North_America,334805269,111820082,109814428,1219487,1186851502
India,Asia,1406631776,45035393,0,533570,935879495
France,Europe,65584518,40138560,39970918,167642,271490188
Germany,Europe,83883596,38828995,38240600,183027,122332384
Brazil,South_America,215353593,38743918,36249161,711380,63776166
S_Korea,Asia,51329899,34571873,34535939,35934,15804065
Japan,Asia,125584838,33803572,0,74694,100414883
Italy,Europe,60262770,26723249,26361218,196487,281126449
UK,Europe,68497907,24910387,24678275,232112,522526476
Russia,Europe,145805947,24124215,23545818,402756,273400000
Turkey,Asia,85561976,17232066,0,102174,162743369
Australia,Oceania,26068792,11853144,11820014,24414,81916639
Vietnam,Asia,98953541,11625195,10640971,43206,85826548
Taiwan,Asia,23888595,10241523,10222518,19005,30742304
Argentina,South_America,46010234,10128845,9997258,130841,35716069
Netherlands,Europe,17211447,8635786,8612599,22992,25984435
Mexico,North_America,131562772,7702809,6899865,334958,20013810
Iran,Asia,86022837,7627186,0,146811,57320267
Indonesia,Asia,279134505,6829221,6647104,162063,114158919
